task,model,split,accuracy,macro_f1,weighted_f1
sentiment,tfidf_char_svm,test,0.8752368919772584,0.7387842592562812,0.8765275526811909
sentiment,tfidf_word_svm,test,0.8919772583701832,0.7289041804941077,0.8869996271404461
sentiment,majority,test,0.5022109917877448,0.22287636669470143,0.33579288349138525
sentiment,tfidf_word_svm,validation,0.9109286165508528,0.7680483540968807,0.908650849587839
sentiment,tfidf_char_svm,validation,0.899557801642451,0.7669473091414246,0.9028817718182522
sentiment,majority,validation,0.5085281111813014,0.2247347850362926,0.34285186725372496
topic,tfidf_word_svm,test,0.8584965255843335,0.7509224329491841,0.8598470959343006
topic,tfidf_char_svm,test,0.8335439039797852,0.732207043612927,0.8405751122231676
topic,majority,test,0.7233101705622236,0.20986070381231672,0.6071775258751805
topic,tfidf_word_svm,validation,0.86481364497789,0.7614813641461614,0.8656953420318806
topic,tfidf_char_svm,validation,0.8344914718888187,0.7285645492797297,0.8403430300878026
topic,majority,validation,0.7271004421983576,0.21049743964886614,0.6122111258012506
