scope,metric,percentile,value
test,char_count,0,4.0
test,char_count,25,30.0
test,char_count,50,46.0
test,char_count,75,73.0
test,char_count,90,111.0
test,char_count,95,147.0
test,char_count,99,221.3499999999999
test,char_count,100,411.0
train,char_count,0,4.0
train,char_count,25,31.0
train,char_count,50,47.0
train,char_count,75,73.0
train,char_count,90,110.0
train,char_count,95,141.0
train,char_count,99,218.75
train,char_count,100,660.0
validation,char_count,0,4.0
validation,char_count,25,31.0
validation,char_count,50,45.0
validation,char_count,75,69.0
validation,char_count,90,105.79999999999995
validation,char_count,95,132.0
validation,char_count,99,196.18000000000006
validation,char_count,100,718.0
all,char_count,0,4.0
all,char_count,25,31.0
all,char_count,50,46.0
all,char_count,75,73.0
all,char_count,90,110.0
all,char_count,95,141.0
all,char_count,99,218.0
all,char_count,100,718.0
