task,variant,y_true_name,y_pred_name,count,total_wrong_in_variant,percent_within_wrong
topic,mixed_light,training_program,lecturer,109,376,28.9894
topic,mixed_light,lecturer,training_program,102,376,27.1277
topic,mixed_light,others,lecturer,43,376,11.4362
topic,mixed_light,others,training_program,39,376,10.3723
topic,mixed_light,lecturer,others,34,376,9.0426
topic,mixed_light,training_program,others,22,376,5.8511
topic,mixed_light,facility,training_program,6,376,1.5957
topic,mixed_light,lecturer,facility,6,376,1.5957
topic,mixed_light,facility,lecturer,5,376,1.3298
topic,mixed_light,training_program,facility,5,376,1.3298
topic,mixed_light,facility,others,3,376,0.7979
topic,mixed_light,others,facility,2,376,0.5319
topic,mixed_no_accent,lecturer,others,1355,2393,56.6235
topic,mixed_no_accent,training_program,others,440,2393,18.387
topic,mixed_no_accent,lecturer,training_program,320,2393,13.3723
topic,mixed_no_accent,facility,others,109,2393,4.555
topic,mixed_no_accent,training_program,lecturer,86,2393,3.5938
topic,mixed_no_accent,lecturer,facility,29,2393,1.2119
topic,mixed_no_accent,others,lecturer,27,2393,1.1283
topic,mixed_no_accent,facility,lecturer,19,2393,0.794
topic,mixed_no_accent,facility,training_program,3,2393,0.1254
topic,mixed_no_accent,others,training_program,3,2393,0.1254
topic,mixed_no_accent,training_program,facility,2,2393,0.0836
topic,no_accent,lecturer,others,1325,2367,55.978
topic,no_accent,training_program,others,443,2367,18.7157
topic,no_accent,lecturer,training_program,319,2367,13.477
topic,no_accent,facility,others,108,2367,4.5627
topic,no_accent,training_program,lecturer,88,2367,3.7178
topic,no_accent,lecturer,facility,30,2367,1.2674
topic,no_accent,others,lecturer,25,2367,1.0562
topic,no_accent,facility,lecturer,21,2367,0.8872
topic,no_accent,facility,training_program,3,2367,0.1267
topic,no_accent,others,training_program,3,2367,0.1267
topic,no_accent,training_program,facility,2,2367,0.0845
